customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TLC-00059,Male,0,Yes,No,20,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),68.48,1356.92,Yes
TLC-00060,Male,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,49.73,690.25,Yes
TLC-00061,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),102.83,6782.05,No
TLC-00062,Male,0,Yes,Yes,32,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),53.68,1724.15,No
TLC-00063,Male,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,675.23,No
TLC-00064,Male,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),34.5,610.47,No
TLC-00065,Male,0,No,No,3,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),72.76,206.7,No
TLC-00066,Female,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,1054.94,No
TLC-00067,Female,0,No,No,69,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),118.55,8188.16,No
TLC-00068,Male,1,No,No,11,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.69,1191.52,Yes
TLC-00069,Female,1,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),107.52,1722.63,Yes
TLC-00070,Female,0,No,No,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),93.22,,Yes
TLC-00071,Female,0,No,Yes,13,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,70.64,927.58,No
TLC-00072,Female,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.78,34.43,No
TLC-00073,Male,0,No,No,3,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),52.73,164.88,No
TLC-00074,Female,1,No,No,65,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,89.21,5795.16,No
TLC-00075,Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,110.85,4978.74,No
TLC-00076,Female,1,No,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.83,1496.96,No
TLC-00077,Female,1,Yes,No,59,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,93.17,5498.97,No
TLC-00078,Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),110.87,5645.42,No
TLC-00079,Male,0,No,No,47,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),61.07,2868.15,No
TLC-00080,Female,0,Yes,No,38,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,89.04,3393.06,No
TLC-00081,Male,1,No,Yes,69,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,99.28,6849.26,No
TLC-00082,Female,0,No,No,59,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,77.91,4585.28,Yes
TLC-00083,Male,1,Yes,Yes,29,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,65.01,1877.75,No
TLC-00084,Female,0,Yes,Yes,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,101.89,2656.59,No
TLC-00085,Male,0,Yes,No,54,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),79.57,4289.7,No
TLC-00086,Male,1,No,No,69,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),99.03,6835.69,No
TLC-00087,Female,0,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,469.3,No
TLC-00088,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),88.21,3606.96,No
TLC-00089,Female,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),94.66,6257.45,No
TLC-00090,Female,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.09,1468.39,No
TLC-00091,Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),107.11,5470.74,Yes
TLC-00092,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.25,538.8,No
TLC-00093,Female,1,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),97.19,877.23,No
TLC-00094,Female,1,Yes,Yes,37,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),94.49,3495.19,Yes
TLC-00095,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.25,211.61,Yes
TLC-00096,Female,0,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,812.67,No
TLC-00097,Female,0,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.06,1522.67,No
TLC-00098,Female,0,Yes,Yes,71,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),70.09,4964.16,No
TLC-00099,Female,1,Yes,No,62,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,82.34,5120.69,No
TLC-00100,Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),96.98,6616.35,No
TLC-00101,Male,0,No,No,42,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),61.06,2591.15,No
TLC-00102,Female,0,No,No,59,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,104.9,6187.14,Yes
TLC-00103,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),92.63,2586.79,Yes
TLC-00104,Female,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.56,759.75,Yes
TLC-00105,Female,0,No,No,34,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,84.42,2863.96,No
TLC-00106,Female,0,No,No,22,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,82.7,1836.72,Yes
TLC-00107,Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,1296.78,No
TLC-00108,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),84.51,1695.61,No
TLC-00109,Female,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.05,706.59,No
TLC-00110,Male,0,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.09,848.38,Yes
TLC-00111,Female,0,Yes,Yes,57,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,85.77,4876.92,No
TLC-00112,Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.97,1724.64,No
TLC-00113,Female,0,No,No,27,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Electronic check,71.46,1919.89,No
TLC-00114,Female,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,90.04,3680.84,Yes
TLC-00115,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.06,1664.9,Yes
TLC-00116,Female,1,No,No,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,94.99,5698.37,Yes
TLC-00117,Male,1,No,No,32,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),76.35,2427.81,Yes
TLC-00118,Female,0,No,No,54,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,108.35,5842.69,No
TLC-00119,Female,1,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,661.86,Yes
TLC-00120,Male,0,Yes,No,46,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,94.85,4356.5,Yes
TLC-00121,Female,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.56,715.84,No
TLC-00122,Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.14,677.34,No
TLC-00123,Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.6,230.93,No
TLC-00124,Male,0,No,Yes,22,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.46,1520.82,No
TLC-00125,Male,0,No,No,4,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,110.64,432.9,Yes
TLC-00126,Female,0,No,No,5,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,70.29,366.15,No
TLC-00127,Female,0,No,Yes,41,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,93.66,3850.73,Yes
TLC-00128,Male,0,No,No,46,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,59.87,2753.22,Yes
TLC-00129,Female,1,No,No,27,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,81.99,2211.36,No
TLC-00130,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.25,227.71,No
TLC-00131,Female,0,No,No,24,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,97.43,2335.06,No
TLC-00132,Male,0,No,Yes,6,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),76.16,436.86,Yes
TLC-00133,Male,0,Yes,Yes,65,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),76.17,4944.7,Yes
TLC-00134,Male,0,No,No,57,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,94.19,5372.34,Yes
TLC-00135,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,103.3,6711.19,No
TLC-00136,Male,0,Yes,No,35,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),110.29,3862.94,No
TLC-00137,Male,0,No,No,1,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),89.89,93.88,No
TLC-00138,Male,0,Yes,No,37,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),82.97,3087.83,No
TLC-00139,Male,0,No,No,13,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,109.96,1429.01,Yes
TLC-00140,Male,0,No,No,26,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),118.75,3102.05,No
TLC-00141,Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,101.07,1420.84,Yes
TLC-00142,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.7,223.82,No
TLC-00143,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),109.75,4627.68,No
TLC-00144,Female,1,Yes,Yes,56,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,71.71,4037.06,No
TLC-00145,Female,1,No,No,47,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,61.42,2882.97,No
TLC-00146,Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,94.57,5672.8,No
TLC-00147,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.78,4129.49,Yes
TLC-00148,Male,0,Yes,No,51,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,77.92,3984.09,No
TLC-00149,Male,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),102.32,6237.93,No
TLC-00150,Female,0,Yes,No,1,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,60.1,64.86,Yes
TLC-00151,Male,0,Yes,No,70,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),63.29,4427.9,No
TLC-00152,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,101.88,3034.92,Yes
TLC-00153,Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.99,2021.53,Yes
TLC-00154,Male,0,Yes,Yes,71,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,61.63,4385.96,No
TLC-00155,Male,1,Yes,No,32,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,80.22,2544.57,No
TLC-00156,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,103.41,424.53,No
TLC-00157,Male,0,Yes,No,57,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.71,4707.41,Yes
TLC-00158,Female,0,No,No,10,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),76.46,761.04,Yes
TLC-00159,Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.79,493.51,No
TLC-00160,Female,0,No,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,813.3,No
TLC-00161,Male,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,93.83,2439.97,Yes
TLC-00162,Male,0,No,No,55,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),80.54,4410.02,No
TLC-00163,Female,0,No,No,58,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,55.82,3233.54,No
TLC-00164,Female,1,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,99.87,3902.28,Yes
TLC-00165,Female,0,No,No,17,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),94.78,1619.73,No
TLC-00166,Male,1,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),92.89,4642.73,No
TLC-00167,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,73.88,4430.91,No
TLC-00168,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,94.22,2084.39,No
TLC-00169,Male,0,Yes,No,35,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),83.59,2925.9,No
TLC-00170,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.25,683.69,No
TLC-00171,Female,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),96.06,6806.35,No
TLC-00172,Male,0,No,No,55,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,100.14,5503.89,Yes
TLC-00173,Male,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.5,1234.43,No
